ФИО,Код клиента,Дата рождения,индекс,город,улица,дом,квартира,e-mail,password,серия,номер
Фролов Андрей Иванович,45462526,14.07.2001,344288, г. Санкт-Петербург, ул. Чехова,1, кв. 34,gohufreilagrau-3818@yopmail.com,cl12345,1180,176596
Николаев Даниил Всеволодович,45462527,10.02.2001,614164, г. Санкт-Петербург, ул. Степная,30, кв. 75,xawugosune-1385@yopmail.com,cl12346,2280,223523
Снегирев Макар Иванович,45462528,21.05.1998,394242, г. Санкт-Петербург, ул. Коммунистическая,43, кв. 57,satrahuddusei-4458@yopmail.com,cl12347,4560,354155
Иванов Иван Ильич,45462529,01.10.1998,660540, г. Санкт-Петербург, ул. Солнечная,25, кв. 78,boippaxeufrepra-7093@yopmail.com,cl12348,9120,554296
Филиппова Анна Глебовна,45462530,31.05.1976,125837, г. Санкт-Петербург, ул. Шоссейная,40, кв. 92,zapramaxesu-7741@yopmail.com,cl12349,2367,558134
Иванов Михаил Владимирович,45462531,04.11.1985,125703, г. Санкт-Петербург, ул. Партизанская,49, кв. 84,rouzecroummegre-3899@yopmail.com,cl12350,7101,669343
Власов Дмитрий Александрович,45462532,17.08.1998,625283, г. Санкт-Петербург, ул. Победы,46, кв. 7,ziyeuddocrabri-4748@yopmail.com,cl12351,3455,719630
Серова Екатерина Львовна,45462533,24.10.1984,614611, г. Санкт-Петербург, ул. Молодежная,50, кв. 78,ketameissoinnei-1951@yopmail.com,cl12352,2377,871623
Борисова Ирина Ивановна,45462534,14.10.1976,454311, г. Санкт-Петербург, ул. Новая,19, кв. 78,yipraubaponou-5849@yopmail.com,cl12353,8755,921148
Зайцев Никита Артёмович,45462535,14.10.1999,660007, г. Санкт-Петербург, ул. Октябрьская,19, кв. 42,crapedocouca-3572@yopmail.com,cl12354,4355,104594
Медведев Святослав Евгеньевич,45462536,13.07.1985,603036, г. Санкт-Петербург, ул. Садовая,4, кв. 13,ceigoixakaunni-9227@yopmail.com,cl12355,2791,114390
Коротков Кирилл Алексеевич,45462537,26.05.1976,450983, г. Санкт-Петербург, ул. Комсомольская,26, кв. 60,yeimmeiwauzomo-7054@yopmail.com,cl12356,5582,126286
Калашникова Арина Максимовна,45462538,13.08.1999,394782, г. Санкт-Петербург, ул. Чехова,3, кв. 14,poleifenevi-1560@yopmail.com,cl12357,2978,133653
Минина Таисия Кирилловна,45462539,13.10.1985,603002, г. Санкт-Петербург, ул. Дзержинского,28, кв. 56,kauprezofautei-6607@yopmail.com,cl12358,7512,141956
Наумов Серафим Романович,45462540,15.04.1999,450558, г. Санкт-Петербург, ул. Набережная,30, кв. 71,quaffaullelourei-1667@yopmail.com,cl12359,5046,158433
Воробьева Василиса Евгеньевна,45462541,13.01.1999,394060, г. Санкт-Петербург, ул. Фрунзе,43, кв. 79,jsteele@rojas-robinson.net,cl12360,2460,169505
Калинин Александр Андреевич,45462542,07.01.1999,410661, г. Санкт-Петербург, ул. Школьная,50, кв. 53,vhopkins@lewis-mullen.com,cl12361,3412,174593
Кузнецова Милана Владиславовна,45462543,24.01.1999,625590, г. Санкт-Петербург, ул. Коммунистическая,20, кв. 34,nlewis@yahoo.com,cl12362,4950,183034
Фирсов Егор Романович,45462544,02.09.1993,625683, г. Санкт-Петербург, ул. 8 Марта,20, кв. 21,garciadavid@mckinney-mcbride.com,cl12363,5829,219464
Зимина Агния Александровна,45462545,03.09.1998,400562, г. Санкт-Петербург, ул. Зеленая,32, кв. 67,cbradley@castro.com,cl12364,6443,208059
Титов Андрей Глебович,45462546,23.10.1985,614510, г. Санкт-Петербург, ул. Маяковского,47, кв. 72,cuevascatherine@carlson.biz,cl12365,7079,213265
Орлов Николай Егорович,45462547,27.07.1985,410542, г. Санкт-Петербург, ул. Светлая,46, кв. 82,thomasmoore@wilson-singh.net,cl12366,8207,522702
Кузнецова Аиша Михайловна,45462548,04.10.1998,620839, г. Санкт-Петербург, ул. Цветочная,8, кв. 100,jessica84@hotmail.com,cl12367,9307,232158
Куликов Никита Георгиевич,45462549,23.04.1999,443890, г. Санкт-Петербург, ул. Коммунистическая,1, кв. 10,jessicapark@hotmail.com,cl12368,1357,242839
Карпова София Егоровна,45462550,01.10.1993,603379, г. Санкт-Петербург, ул. Спортивная,46, кв. 95,ginaritter@schneider-buchanan.com,cl12369,1167,256636
Смирнова Дарья Макаровна,45462551,22.03.1976,603721, г. Санкт-Петербург, ул. Гоголя,41, кв. 57,stephen99@yahoo.com,cl12370,1768,266986
Абрамова Александра Мироновна,45462552,26.03.1999,410172, г. Санкт-Петербург, ул. Северная,13, кв. 86,lopezlisa@hotmail.com,cl12371,1710,427875
Наумов Руслан Михайлович,45462553,11.10.1999,420151, г. Санкт-Петербург, ул. Вишневая,32, кв. 81,lori17@hotmail.com,cl12372,1806,289145
Бочаров Никита Матвеевич,45462554,29.06.1997,125061, г. Санкт-Петербург, ул. Подгорная,8, кв. 74,campbellkevin@gardner.com,cl12373,1587,291249
